frag,Area,nroad,nurb
276,74502.42,7834.14266049,20439.5184762
277,72706.8,7280.74516183,20034.996076
278,48229.68,10319.57639104,18145.988872
279,22933.51,9024.30764148,19657.8815036
280,77715.63,6793.58573438,18644.0853218
281,34179.76,7424.24900899,19217.6908806
282,47757.15,7699.54580965,18889.6353256
283,38180.52,7009.7334291,17576.8948248
284,48292.69,7961.61803522,16091.7183956
285,227035.49,6043.50714411,16691.0827513
286,72738.3,4475.85379882,11038.4477086
287,170079.73,351.44351711,5090.82942763
288,371063,5,3642.37724841
289,105185.44,49.01261741,2793.85210986
290,130324.1,44.97359561,1824.60903494
291,41740.26,705.85603468,1257.82718075
292,955080.05,43.70643349,3199.78924094
293,91104.01,171.21533193,2785.22155661
294,30242,5,3318.90909391
295,93120.15,946.46551743,3438.26991039
297,837010.26,16.0578494,106.886271942
298,135212.83,1579.24963142,4384.4913392
299,86286.16,1539.85672124,2149.03996474
300,19310727.34,5,986.777833114
301,1354337.41,5,0
302,1262477.34,5,1548.61168827
303,429058.32,38.14659136,4005.95053274
304,67760.97,160.36412189,4180.75368772
305,101216.18,104.52547965,3841.669197
306,120721.58,283.82320538,12398.4234909
307,42520.51,2552.6684204,8319.62824334
308,82608.25,145.33459715,11553.4118886
309,57786.99,53.57130239,9458.86943579
310,154286.69,558.65488352,9243.41794897
311,265065.66,202.7628922,10250.9731455
312,53943.93,80.22953551,11070.879442
313,156719.45,484.39620924,9915.83544639
314,310653.56,11.16860162,10253.0359711
315,77672.21,35.59270526,9993.06054139
316,132744.37,1208.11360663,8351.68891581
317,15019.68,1209.6196614,9022.1719623
318,52674.66,1018.75983066,10715.0766061
319,258260.96,1632.16417186,9055.48966873
320,102951.81,1694.95899516,8522.29611901
321,26478.36,1202.48246866,9574.39517046
322,155062.35,694.86872718,9340.35533293
323,114057.91,68.08264003,10510.5748201
324,99285.03,5,10371.0957353
325,51052.82,223.91131759,10514.1453325
326,53661.87,5,11419.0634726
327,193246.19,675.81169449,11806.9638263
328,236789.16,121.75757161,11171.9027546
329,168565.96,12.31021325,11487.6242108
330,80246,11.64154674,11205.8586371
331,48655.31,602.82865554,13463.8442283
332,210804.41,42.15608818,13211.528807
333,106830.13,1197.25871705,12878.5411827
334,76015.1,647.47804258,12784.9453591
335,236471.85,5,12969.3092681
336,247613.21,56.10939994,12178.4403777
337,3408656.89,697.18083111,16562.3441422
338,64032.73,980.62741894,12511.554103
339,67105.26,0.79776676,13387.0048691
340,88974.51,5,11108.5969016
341,62922.48,18.90607996,10385.6537312
342,200076.45,848.2302704,14806.2171175
343,86831.48,357.05070919,14464.6259514
344,45313.48,11.48880799,13776.0737783
345,1492806.53,1178.80697187,17561.110406
346,50988.83,2468.65808739,19468.7149833
347,119864.62,2973.06826431,19970.7243821
348,307363.32,1869.01442403,18924.438175
349,291378.23,2674.22381021,19750.1897015
350,89701.99,1391.55480754,18420.6872779
351,589216.51,476.47100703,17461.2935491
352,102056.25,118.79340904,17193.2482513
353,116752.48,925.62697671,17889.3498284
354,40300.67,1193.90288833,17855.6429895
355,867124.51,606.7363378,1500
356,155434.21,230.80413834,1500
357,218384.35,1822.31837139,1500
358,51963.34,1329.8562042,1500
359,45267.52,1864.89819539,1500
360,29785.4,1667.64293114,1500
361,84405.06,1313.30706213,1500
362,100610.21,747.99844783,1500
363,705183.1,5,1500
364,57716.09,5,1515
365,188583.23,235.30538923,1527
366,160526.8,221.98019309,1388
367,478342.52,119.38446356,1452
368,43805.76,904.38301333,1498
369,19930.28,970.46834148,1475
370,10969.47,855.86038316,1552
371,65378.01,977.64453213,1500
372,664498.87,3.30226626,1376
373,60885.76,5,1360
374,427892.72,14.95073211,1322
375,243708.66,61.87719109,11972.3427209
376,904194.61,104.90946898,10674.4196001
377,105216.95,492.37842773,8444.5418795
378,131615.69,319.30521325,9713.54600025
379,83669.52,190.54404564,9497.18263453
380,111265.35,194.9673749,11264.8491592
381,217616.37,619.54435257,10681.7142317
382,161322.15,5,10608.1385478
383,41330.73,753.84570491,12151.6050771
384,72895.81,688.76583703,11016.192113
385,65240.81,5,13078.0761265
386,40480.17,5,13066.3054004
387,45993.04,9.03108772,12493.5980396
388,63350.68,587.71085693,12237.6822247
389,48828.22,152.23524161,12684.2949006
390,637381.58,329.08700915,13715.8130335
391,84047.55,1533.45130658,14934.0555212
392,52356.46,9.05586007,4989.76560595
393,121944.55,455.13889976,4012.7036513
394,112903.45,237.27255304,5414.35813237
395,2451239.82,5,4850.80206886
396,94600.75,182.99842653,4564.55286054
397,63098.67,360.77927282,4515.56071347
398,35817.86,5,4944.52592311
399,44827.46,5,4895.68660009
400,98065.97,341.33888115,5445.69249021
401,106855.05,74.55461262,4876.29497648
402,213804.61,567.7588226,6034.72934124
403,72958.82,5,2409.97201163
404,68832.04,629.04829475,1887.60321948
405,61681.07,5,2428.72375157
406,328283.17,211.19970328,5898.32934032
407,130828.14,0.33391135,5931.52859233
408,95514.31,1550.77238637,6434.38319753
409,1322646.32,122.26351827,7602.1543986
410,157667.91,1356.24747306,7796.35430345
411,48261.19,497.89709424,8707.63726676
412,80456.31,615.98373957,10130.3425675
413,99924.6,272.79124211,11352.852054
414,67351.45,184.7457529,9417.90402111
415,72549.29,251.23691915,9385.11122175
416,72076.76,42.30307326,9685.22635866
417,439895.04,403.84050654,13713.1244475
418,857644.12,1533.73457044,12506.6599756
419,80897.34,620.20887891,15891.2432632
420,268145.7,4.20033808,14320.2571739
421,62563.13,654.36054292,13255.6760742
422,65209.3,1440.00290195,11143.7072643
423,108052.13,472.69280473,11711.2727952
424,380765.64,2140.42947964,10301.0399745
425,1115961.17,2191.50321125,8208.05406451
426,1614881.03,2477.15463062,7916.10890128
427,711190.95,2768.79071514,7879.81417363
428,230626.72,1152.28608845,8083.15793468
429,376827.88,751.11193796,6345.67010127
430,65776.34,579.38711764,4353.51998849
431,85118.62,1605.09602812,2465.28356289
432,118164.3,466.00373116,184.687772377
433,141507.34,49.08253528,2069.94995516
434,289441.11,5,2080.6683843
435,71068.69,885.30389639,1843.42403029
436,376796.37,189.51669402,4307.60642962
437,45530.35,276.38610114,680.181372395
438,101247.68,20.07163406,1110.07886105
439,220262.54,5,717.632154796
440,15897561.79,51.12366335,730.450303055
441,106036.53,3992.67538425,6541.01669482
442,664073.74,2700.73906101,4544.91324822
443,101143.49,22.67883608,1157.45492713
444,71382.41,64.69958696,1935.70805119
445,85526.29,176.56601965,2397.43566284
446,100775.16,1229.14572458,2935.04299933
447,63131.81,169.74618278,2299.66138213
448,83316.31,516.66393521,3686.9642841
449,83132.14,343.53829804,4732.64308318
450,74734.21,330.50097666,2577.62010521
451,4076016.38,40.67632646,3013.63080691
452,98808.79,238.64097341,5664.31903398
453,109644.99,2244.25953505,4552.02472228
454,39127.94,285.53400532,4455.28962577
455,35361.25,124.14317732,3698.74611721
456,62823.86,52.69181148,2717.64578995
457,83826.03,27.31230223,1099.41366249
458,19974.88,105.74838148,1011.85845591
459,68690.77,318.3556765,872.502154729
460,84305.42,1595.98926644,4731.29130514
461,73576.06,2039.6719813,6089.26341631
462,35635.19,1568.44846781,6175.56788653
463,35817.82,1476.24833765,5971.74699219
464,85620.76,5,1237.47725205
465,63284.91,564.23921928,727.715845578
466,820695.06,1416.91146547,4173.99448327
467,571586.14,5,158.559132943
468,126667.05,756.97758212,8770.30411552
469,506140.03,55.36070612,1648.22967683
470,266009.6,52.9168261,2507.87489718
471,2548128.99,5,2332.30200327
472,307557.09,1182.51288923,1936.65229114
473,205305.5,144.47202168,0
474,125791.95,15.92449433,0
475,98075.08,1457.92970138,1436.31261464
476,102799.05,2038.91723484,4320.41064644
477,1036563.84,1182.10450195,4758.88004654
478,2095855.09,865.24364854,5599.2825693
479,76148.94,1238.23873008,3502.37104106
480,161477.82,55.34049946,6337.41599935
481,84196.55,1120.93667409,9370.90781142
482,96733.02,1025.30141212,9573.29348246
483,83913.47,968.80600714,9870.05705281
484,63733.79,1706.84411493,10570.8321406
485,146514.93,5,9768.57411471
486,595239.5,248.44674246,9036.73720693
487,84600.95,778.0613746,9460.91024572
488,154319.9,23.91806934,9894.87404952
489,72226.24,237.48374254,10995.9275979
490,141500.35,2938.89388575,11323.8766541
491,41370.35,3734.46695424,11899.2359747
492,44282.05,3243.60542092,12036.5202214
493,244739.66,929.61830665,4122.78003834
494,72832.81,43.76852316,4936.25411899
495,17597736.86,64.41290274,360.915872665
496,67609.92,5,6404.14097641
497,8271914.2,5,0
498,161835.99,41.83589756,0
499,78199034.25,5,0
500,71406.1,359.22468919,2164.02089386
501,859106.97,431.29258935,1520.52866644
502,1767440.91,88.54762352,83.0883437585
503,100906.53,110.58838855,6702.39071881
504,287506.9,204.98881665,11452.1112667
505,2848223.12,361.13812142,13632.8625171
506,91616.99,148.63585755,14533.7013626
507,74705.13,581.12097828,14003.516998
508,56195.31,5,12300.1456899
509,78966.39,146.37489358,12027.6797557
510,113589.09,510.70990343,12990.2868136
511,88088.14,62.08397021,16734.1122403
512,47872.54,2157.52201502,15864.1218994
513,77901.08,2057.26754317,14990.6393181
514,65450.22,1028.87785285,14464.4745303
515,276715.27,1325.26059451,15138.8566631
516,88354.47,328.07471247,12964.5926853
517,61388.71,5,10549.7655118
518,66915.03,1064.74134074,11544.8234209
519,178802.28,89.46521739,11526.4202316
520,65026.76,5,11127.8885027
521,73932.78,5,10839.4935321
522,130266.58,5,12105.0749308
523,126729.74,268.03696206,16122.3443846
524,413341.77,5,0
525,88753.96,849.34954707,670.30836972
526,87089.41,635.45116089,803.678453071
527,978671.17,357.11547799,1179.67508347
528,508487.62,5,9748.5498864
529,1492837.62,553.03579173,2923.13729911
530,2517913.74,515.78810952,837.100182681
531,119255.59,600.29171664,260.136929049
532,95441.34,2240.30981756,1152.16405462
533,58798.35,149.16063588,4917.785828
534,93708.72,281.17260477,5271.11429783
535,299060.59,5212.94312699,12548.1660543
536,195941850.21,5,0
537,158597.92,2506.4916099,2582.26714256
538,141832.28,1934.7466579,1583.92405179
539,189576.81,2049.30566276,1551.24882444
540,72667.77,466.71987916,0
541,110603.15,581.78106025,85.9606519093
542,62758.53,1114.3173643,562.933872598
543,102445.55,1131.58615068,1717.98594126
544,67613.06,166.11732001,7768.73325862
545,38686.08,816.62520143,7414.98221568
546,5238385.54,5,4849.53638589
547,123915.57,613.20228938,66.8183256959
548,18311737.64,5,0
549,98426.66,53.76360642,18.3861275735
550,31591213.94,5,137.51173165
551,882877.95,5,1444.33008533
552,85595.44,1.9149591,336.86361947
553,106478.3,103.96660802,0
554,109168.5,472.75020333,0
555,15606260.79,5,2101.02564966
556,3121863.37,5,62.3216127556
557,6809680.2,23.34998552,16.6074232552
558,2763000.32,5,0
559,21454002.16,13.53799538,2495.61588465
560,16889769.34,13.53799538,2495.61588465
561,97824408.92,5,1893.05672591
