frag,year,E,N,presence,area,nurb,urbarea,nroad,nneigh,circle,contig,Prox
MAR,2006,775696.42,7506005.48,0,324499.68,5958.70762,1029904,738.7012176,67.41049278,0.7245,0.9551,167.9
OLH,2006,775529.54,7502732.14,0,670644.07,9189.933659,21506598,15,0,0.7618,0.9461,20570.7222
PIN,2006,763358.22,7492370.96,1,87089.41,803.6784531,21506598,635.4511609,30.90163295,0.7348,0.9391,133458
RVE,2006,750527.45,7485313.95,1,9535631.51,8724.831251,2606665,20,106.6978256,0.6554,0.9858,42.0725
SFR,2006,775203.3,7508837.34,1,244739.66,4122.780038,1029904,929.6183066,14.64677492,0.3849,0.9638,15660.8074
SH1,2006,772937.59,7506552.04,1,470443.48,6066.431425,1431595,137.8409252,253.8953257,0.4795,0.9754,84.8541
SH2,2006,767238.48,7497950.92,1,2067136.97,6.55034343,21506598,20,14.36720835,0.6451,0.9795,17028.0031
SPR,2006,759706.12,7498337.16,1,2763000.32,0,1837638,15,20,0.7884,0.9876,1418.0415
VC1,2006,771625.48,7505202.43,1,2224084.93,5778.305228,1431595,352.0314779,57.54727857,0.5526,0.9791,48.6889
VC2,2006,772070.65,7503971.88,0,152632.2,7917.965023,21506598,119.9360795,57.54727857,0.7666,0.9463,547.5045
VEN,2006,760791.8,7492587.76,1,212976.85,256.0602708,2606665,45,892.2793467,0.5623,0.9604,0
